,es_respuesta,fecha,likes,nota_id,respuestas,texto,url,usuario
53423,,,,712,,NOTA SIN COMENTARIOS,https://www.lanacion.com.ar/2182699-el-gobierno-ofrece-500-mil-pesos-quien,
53580,,,,716,,NOTA SIN COMENTARIOS,https://www.lanacion.com.ar/2180506-llego-fin-del-diseno-grafico-como-lo,
55030,,,,742,,NOTA SIN COMENTARIOS,https://www.lanacion.com.ar/2183090-los-tios-sheila-ayala-confesaron-crimen-nos,
55058,,,,744,,NOTA SIN COMENTARIOS,https://www.lanacion.com.ar/2183067-fue-muerte-violenta-dijo-comisario-general-bonaerense,
55059,,,,745,,NOTA SIN COMENTARIOS,https://www.lanacion.com.ar/2183026-asi-es-lugar-donde-encontraron-cuerpo-sheila,
58550,,,,773,,NOTA SIN COMENTARIOS,https://www.lanacion.com.ar/2183371-el-crimen-sheila-tia-imputada-asesinato-dio,
58784,,,,782,,NOTA SIN COMENTARIOS,https://www.lanacion.com.ar/2183619-la-planta-volkswagen-cordoba-levanta-suspensiones-operara,
58785,,,,787,,NOTA SIN COMENTARIOS,https://www.lanacion.com.ar/2183699-otro-hallazgo-macabro-detroit-restos-64-fetos,
58786,,,,788,,NOTA SIN COMENTARIOS,https://www.lanacion.com.ar/2183646-pozo-vacante-record-superloto-eeuu-tiene-us,
58843,,,,794,,NOTA SIN COMENTARIOS,https://www.lanacion.com.ar/2183582-showmatch-2018-marcelo-tinelli-recordo-su-madre,
61561,,,,804,,NOTA SIN COMENTARIOS,https://www.lanacion.com.ar/2183664-la-tia-sheila-se-quebro-emocionalmente-pidio,
62324,,,,819,,NOTA SIN COMENTARIOS,https://www.lanacion.com.ar/2183798-murieron-cuatro-turistas-mientras-practicaban-rafting-costa,
62348,,,,827,,NOTA SIN COMENTARIOS,https://www.lanacion.com.ar/2183896-hora-cambios-relacion-estado-iglesia,
62552,,,,832,,NOTA SIN COMENTARIOS,https://www.lanacion.com.ar/2183897-una-organizacion-pro-vida-lanzo-plataforma-denunciar,
62575,,,,834,,NOTA SIN COMENTARIOS,https://www.lanacion.com.ar/2183841-exmonja-carta-abusos-sexuales-iglesia-denuncia-valeria,
62600,,,,836,,NOTA SIN COMENTARIOS,https://www.lanacion.com.ar/2183799-dia-madre-google-lo-celebra-doodle-especial,
63203,,,,854,,NOTA SIN COMENTARIOS,https://www.lanacion.com.ar/2184181-cupo-femenino-proyecto-ley-pide-piso-30,
66576,,,,892,,NOTA SIN COMENTARIOS,https://www.lanacion.com.ar/2184457-procesaron-prision-preventiva-cura-abuso-corrupcion-menores,
