,es_respuesta,fecha,likes,nota_id,respuestas,texto,url,usuario,autor,seccion,titulo,severe_toxicity,toxicity,caracteres,caracteresSE
45429,False,22:15 15/10/2018,3.0,648,6.0,""" Un conjunto de decisiones económicas, más allá de cualquier herencia, han sido las responsables de este nuevo empobrecimiento del conjunto social, así como también de una extraordinaria transferencia de riqueza en favor de capitales financieros globales y clases locales privilegiadas. No hay forma de ocultar que el liberalismo conservador ha vuelto a fracasar como programa de refundación de la Nación. La sociedad argentina registrará, a fines de 2018, más pobreza que en 2015: un 33%-34% "". Ah, esto no lo dijo Navarro, globerto. Esto lo dijo Agustín Salvia, nada menos, en el Clarín de hoy.",https://www.lanacion.com.ar/2181987-la-actualizacion-del-fondo-del-conurbano-sube,AlanBiqqeNotDead,Santiago Dapelo,Política,La actualización del fondo del conurbano sube la tensión entre Macri y Vidal,0.36354324,0.2593452,597,502
41809,True,23:05 13/10/2018,,586,0.0,"@smr1967 Pues que yo sepa, te matás hablando de la porota. Ah... y de las madres de todos. Qué Edipo ángel, eh...",https://www.lanacion.com.ar/2181557-el-gobierno-comenzo-analizar-escenario-2019,elinus2,Jaime Rosemberg,Política,El Gobierno ya comenzó a analizar el escenario 2019,0.23307972,0.25906926,113,92
27157,False,11:55 06/10/2018,2.0,385,2.0,"El Sr. Coima Macri -alias Cueva Panameña OffShore- hablando de luchar contra la corrupción... VOS LO VOTASTE, GLOBERTO.",https://www.lanacion.com.ar/2179072-macri-pidio-empresarios-luchar-corrupcion,QuiqueLaNacion,Mariano Obarrio,Política,Macri pidió a los empresarios luchar contra la corrupción,0.22124793,0.25900987,119,102
63290,False,17:59 22/10/2018,1.0,861,2.0,Por poco y Baigun recomienda indemnizarlo. Que berreta todo en Peronia.,https://www.lanacion.com.ar/2184183-ricardo-jaime-cumplira-pena-cuatro-anos-enriquecimiento,samus26,Hernán Cappiello,Política,Ricardo Jaime cumplirá una pena de cuatro años por enriquecimiento ilícito y pagará una multa de $13 millones,0.24006712,0.25900933,71,61
17274,False,17:20 01/10/2018,14.0,234,0.0,"todos reconocen que cobraron o pagaron cifras enormes durante el régimen k ¿y la jefa, la porota nada? ¿la veía pasar nada mas? ¿no le importaba la plata, sólo el bienestar de su pueblo? ¿todos los integrantes de la banda se hartaron de chorear menos la jefa?....ni kafka apeló a tal grado de absurdidad para escribir sus famosas novelas....",https://www.lanacion.com.ar/2177404-cuadernos-coimas-szpolski-admitio-cobros-millonarios-involucro,clase51,Paz Rodríguez Niell,Política,Los cuadernos de las coimas: Szpolski admitió cobros millonarios e involucró a Abal Medina,0.25910196,0.25877064,341,283
43670,True,08:26 14/10/2018,1.0,620,0.0,"@labertinto1582 @chel6242 No se Garabano pero que la justicia empieza a funcionar con Cambiemos no hay dudas, sino fijate cuantos preso hoy De Vido con condena y La Porota gastando parte de los bolsos en generar quilombos y tratar de voltear el gobierno. ",https://www.lanacion.com.ar/2181689-elisa-carrio-confeso-paso-detras-broma-pedido,hugo_morand,,Política,"Elisa Carrió confesó qué pasó detrás de la ""broma"" y el pedido de renuncia a Germán Garavano",0.31453735,0.25872567,255,212
14899,False,19:27 01/10/2018,4.0,218,5.0,"Un informe de la auditoría interna del  FMI reconoció que la crisis de Grecia se debió a las políticas económicas que ese organismo le impuso, globerto.",https://www.lanacion.com.ar/2177422-tasa-del-67-leliq-banco-central-coloco,AlanBiqqeNotDead,,Economía,El Banco Central comenzó a aspirar pesos: captó $71.060 millones a una tasa de 67%,0.20319855,0.25872567,152,126
4168,True,19:03 25/09/2018,5.0,52,0.0,"@Pianobaar Parrili, la deuda viene de antes con todo el dèficit que dejò la Porota y la falta de obras de infraestructura, no se endeuda porque quiere, de ahì el dèficit cero.",https://www.lanacion.com.ar/2175513-en-onu-macri-dijo-denunciara-al-regimen,diamanteenbruto,Rafael Mathus Ruiz,Política,"En la ONU, Macri dijo que denunciará al régimen de Maduro ante la Corte de La Haya",0.2046449,0.25872567,175,144
14819,True,19:45 01/10/2018,2.0,218,0.0,"en qué país, globerto mamerto",https://www.lanacion.com.ar/2177422-tasa-del-67-leliq-banco-central-coloco,hconstantino,,Economía,El Banco Central comenzó a aspirar pesos: captó $71.060 millones a una tasa de 67%,0.24106722,0.25872567,29,25
6504,True,23:43 27/09/2018,1.0,112,2.0,@josejordo Decile a Porota que devuelva el choreo y te dejas de quejar ,https://www.lanacion.com.ar/2176224-mauricio-macri,nesfer24,,Política,"Mauricio Macri, sobre el aumento de la pobreza: ""Refleja las turbulencias de los últimos meses""",0.18466611,0.25872567,71,58
26727,True,21:42 06/10/2018,2.0,382,1.0,"@aoubel1 Mejor decile a Porota y sus forajidos que devuelvan el PBI choreado, gracias",https://www.lanacion.com.ar/2179233-carrio-indignada-cambio-afip-equivale-aliarse-echegaray,nesfer24,,Política,"Carrió, indignada por un cambio en la AFIP: ""Equivale a aliarse con Echegaray y su gente""",0.22300512,0.25770307,85,72
50450,False,10:24 18/10/2018,7.0,707,1.0,"no estuvo la mayor CEO de la argentina, doña porota elisabet ???
o no se junta kon ""los grasitas"" ??",https://www.lanacion.com.ar/2182681-un-desfile-vuelos-privados-fiesta-lealtad-peronista,horaluce,,Política,Un desfile de vuelos privados a la Fiesta de la Lealtad Peronista en Tucumán,0.26912636,0.25764233,103,85
3992,True,21:24 25/09/2018,6.0,52,3.0,"@elopez3 En eso anda, la última que se ocupó del país fué Porota y lo desocupó de dólares y euros.",https://www.lanacion.com.ar/2175513-en-onu-macri-dijo-denunciara-al-regimen,jlopez149,Rafael Mathus Ruiz,Política,"En la ONU, Macri dijo que denunciará al régimen de Maduro ante la Corte de La Haya",0.26672113,0.25713968,98,79
12505,True,12:39 30/09/2018,,190,0.0,"@marcelo19710406 Básicamente comparto tus conceptos, pero.......volvemos con la Porota? Porque por ahora no se vislumbran candidatos serios, o seriamente.",https://www.lanacion.com.ar/2176732-el-fin-exenciones-especiales-que-cambios-habria,josemariorome,Silvia Stang,Economía,El fin de las exenciones especiales: qué cambios habría en Ganancias en 2019,0.17559099,0.25618878,154,136
20464,False,21:15 03/10/2018,2.0,291,4.0,"Cuca, la veo a Porota arrodillada en la banca de Pichetto y no para rezar ",https://www.lanacion.com.ar/2178192-el-gobierno-sumo-apoyo-dos-gobernadores-mas,nesfer24,Santiago Dapelo,Política,El Gobierno sumó el apoyo de dos gobernadores más para el presupuesto,0.19145522,0.25500223,74,59
54574,True,19:53 18/10/2018,1.0,746,2.0,@jorgerai El ùnico gato que se cae es el tuyo,https://www.lanacion.com.ar/2183027-san-miguel-vecinos-tiraron-piedras-se-enfrentaron,Magda2010,,Sociedad,San Miguel: vecinos tiraron piedras y se enfrentaron a la policía luego de la aparición del cuerpo de Sheila Ayala,0.15054177,0.25486863,45,36
17577,False,14:22 01/10/2018,4.0,234,0.0,Corrupto    del   primero     al    ultimo    kernerolo.,https://www.lanacion.com.ar/2177404-cuadernos-coimas-szpolski-admitio-cobros-millonarios-involucro,spcristal,Paz Rodríguez Niell,Política,Los cuadernos de las coimas: Szpolski admitió cobros millonarios e involucró a Abal Medina,0.12268264,0.25452116,56,36
57034,False,22:40 19/10/2018,11.0,768,0.0,"El guardián de los fueros de porota , de la extinción de dominio y del silencio cómplice de todos los intentos golpistas",https://www.lanacion.com.ar/2183375-miguel-pichetto-idea-los-empresarios-van-parar,cofranco,Maia Jastreblansky,Política,"Miguel Pichetto en IDEA: ""Los empresarios van a parar las inversiones hasta que se aclare la cuestión electoral""",0.19289856,0.25443277,120,99
7198,False,18:26 27/09/2018,5.0,113,0.0,El jardinero Barreiro le hacía la cazuela a Porota...,https://www.lanacion.com.ar/2176203-se-entrego-comodoro-py-roberto-sosa-otro,MMMdijolamuda,Hernán Cappiello,Política,"Los cuadernos de las coimas: se entregó en Comodoro Py Ricardo Barreiro, el jardinero de los Kirchner",0.19084737,0.25416669999999997,53,45
7102,False,19:40 27/09/2018,7.0,113,0.0,TE BANCAMOS AMIGA POROTA ... (EL CARTEL DE SINALOA),https://www.lanacion.com.ar/2176203-se-entrego-comodoro-py-roberto-sosa-otro,BRUCE54,Hernán Cappiello,Política,"Los cuadernos de las coimas: se entregó en Comodoro Py Ricardo Barreiro, el jardinero de los Kirchner",0.17823131,0.25336084,51,43
