,cantidad,keyword,toxicity
456,2,Racing Club,0.19321856160714287
452,2,Amistosos FIFA en el mundo,0.1422687928375
453,2,Selección de Brasil,0.17040918704545455
80,2,Axel Kicillof,0.27282256325328946
228,2,Moreno,0.2659016308907658
257,2,W20,0.3869787665546218
291,2,Franco Armani,0.19423376762360145
290,2,Sarmiento de Resistencia,0.23527874265769236
8,2,Luka Modric,0.13896799094136364
285,2,Aeropuerto Internacional Ezeiza,0.22968555594444443
281,2,Gerardo Zamora,0.2646155894382362
494,2,Poder Judicial,0.2887470314147018
480,2,Aumento del transporte público,0.23098426032075475
303,2,Italia,0.2147438151
269,2,Violencia de género,0.24410240088007662
267,2,Graciela Camaño,0.26616791610809903
504,2,Cristóbal López,0.2268703971467093
263,2,Casos de corrupción,0.24284624812646266
259,2,Género,0.2507647152712885
310,2,Pampita Ardohain,0.21384559284615384
17,2,Esteban Andrada,0.21391747415966383
229,2,Tránsito y transporte,0.22983845788583956
7,2,Cristiano Ronaldo,0.13896799094136364
252,2,Champions League,0.12636935620833334
248,2,Roberto Baradel,0.29055199469583337
469,2,Podcasts,0.19745618999999998
245,2,Oscar Centeno,0.25518931129342437
189,2,PJ Partido Justicialista,0.27911084862956803
243,2,Monotributo,0.2125714506849593
519,2,Atletismo,0.09683258050000002
320,2,Rescate en Tailandia,0.18671258877500002
23,2,Negocios,0.2455464211046512
522,2,Francia,0.4856048064285714
233,2,Pilar,0.19622728783461543
321,2,Gabriela Sabatini,0.18179223206818182
322,2,David Nalbandian,0.18179223206818182
316,2,Santa Fe,0.17623695061363637
186,2,Debate por el presupuesto,0.2851544037248061
581,2,Corrupción en la Argentina,0.24677221175006103
411,2,Detrás de la música,0.1964221275
390,2,Twitter,0.255458325
432,2,Ricardo Jaime,0.20854810573895396
99,2,Carlos Tevez,0.2378681936801471
154,2,Jaime Durán Barba,0.2995620223873154
364,2,Colombia,0.40188948579656486
14,2,Guillermo Barros Schelotto,0.21744057469537814
366,2,Venezuela,0.40188948579656486
367,2,Washington,0.3160668907965649
575,2,Guatemala,0.2771391757734867
147,2,UCR,0.24772827658902447
146,2,Gabriela Michetti,0.2465632111363188
431,2,Tragedia de Once,0.22979633756507178
143,2,Alejandra Gils Carbó,0.4711852718345349
56,2,Juliana Awada,0.18505541424378275
385,2,Neymar,0.18179815385045456
582,2,Panama Papers,0.2683339817870657
59,2,Paro general contra el Gobierno,0.23031395646979091
111,2,Carolina Stanley,0.19389346
599,2,La casa de papel,0.22488564605555555
130,2,FC. Barcelona,0.2644100638333334
597,2,Estambul,0.24604235491964288
123,2,"Eduardo ""Wado"" de Pedro",0.27072603558824637
377,2,Cambios en la Justicia,0.42133251650000003
72,2,Sergio Romero,0.20402197454545457
420,2,Guillermo Moreno,0.2562081955940767
395,2,Rodolfo Canicoba Corral,0.21260244900819675
10,2,Mundo River,0.14585852246590908
176,2,Indonesia,0.125668903
184,2,Diego Santilli,0.25008558805552833
552,2,El caso Sheila Ayala,0.2680449562240924
397,2,Margarita Stolbizer,0.24776303118588838
396,2,Caso Hotesur,0.25978171976694886
44,2,Isabel II,0.20951440419326922
444,2,Emprendedores,0.14236915505084746
443,2,Comercio exterior,0.2230143131612903
41,2,Crisis en Venezuela,0.23404279631799346
12,2,Gonzalo Pity Martínez,0.1523116091666667
440,2,Deporte,0.1586398453
45,2,Cine,0.5547329
165,2,Sergio Agüero,0.11452448980500002
187,2,José Luis Gioja,0.28879412818218664
473,1,Recoleta,0.3353226339047619
418,1,Lázaro Báez,0.25715839568181803
474,1,Mataderos,0.3353226339047619
407,1,América de Cali,0.505963915
419,1,Los números del Indec,0.2608980911881534
406,1,Atlético Nacional de Medellín,0.505963915
484,1,Siria,0.3835852
483,1,Terrorismo,0.3835852
412,1,Radiohead,0.15400684
408,1,España,0.26293683290000003
475,1,Organización Mundial de la Salud,0.3727785
415,1,The Cure,0.15400684
476,1,Automovilismo,0.06111586
