,usuarios,comments
217,paladio046,"Con esa declaración, TAN BERRETA, ya dejaste claro que tu hijo es culpable de lo que se lo acusa y ademas, un PATOTERO COBARDE"
218,pnogueira3,"FUE DUHALDISTA, SCIOLISTA, MENEMISTA, KIRCHEIRSTA, DESPUES DESANDO Y AHORA VOLVIO AL KIRCHEIRSMO....
MISMO DISCURSO ....TIPICO DELINCUENTE QUE SIEMPRE DICE QUE ES INOCENTE CUANDO HAY DOS JUZGADOS LLENOS DE PRUEBAS QUE LOS CONDENAN...Y ADEMAS EXTORSIONADOR...PROQUE CONVENCE A SUS ESBIRROS QUE LA CULPA ES DE MACRI QUE LOS PERSIGUE CUANDO EN REALIDAD ES LA JUSTICIA QUE POR PRIMERA VEZ TRABAJA INDEPENDIENTEMENTE DEL EJECUTIVO....Y SINO....PARO GENERAL..NO PUEDEN ESTAR LIBRES....PORQUE ESTANDO LIBRES DISFRUTANDO DE LA QUE ROBARON REBELA AL RESTO DE LOS CIUDADANOS DE BIEN....DAN GANAS DE EMPEZAR A NO RESPETAR NADA NI DE CUMPLIR NINGUNA LEY...."
219,sogtulakk,@pnogueira3 Lo que realmente es .. una BASURA.-
220,juanberi,Pero si el Pablito es chico inocente ..
221,ToyzMKT,"Y si, que va a decir? ""Merezco ser investigado""?  Acusar al gobierno de distracción o autodenominarse perseguido político, son las únicas respuestas que tienen. "
222,menalbo,"El bebote arrepentido, noray arrepentido, a quién creés que entregaron? A tu hijo y a vos, disparate que es todavía no estés guardado en algún penal"
223,AAMELIO,"chorros como los Macri, como los Kirchner, como Ménem, va, como todos....."
224,juanberi,"@AAMELIO No busques el empate. Los Macri serán chorros y ya les llegará el turno, pero hay que apoyar fervientemente este proceso que está haciendo temblar el piso a las mafias eternas."
225,cacho09,"Para distraer esta NEFLIXT,para delinquir estan los SINDICALISTAS. Por las dudas te paso significado de delenquir: Cometer un delito si continúa con esas compañías puede acabar delinquiendo "
226,egraham,A la Gayola Hugito. Vos tambien en Breve.
