,usuarios,comments
54,Mojigato,ME SACO EL SOMBRERO ANTE LOS DIRIGENTES SINDICALES Y SOCIALES QUE ABNEGAN POR EL BIEN DE SUS REPRESENTADOS SIN USUFRUCTUAR ECONOMICAMENTE DE ELLO. PERO TODOS SABEMOS SOBRADAMENTE QUE ESTE NO ES EL CASO... 
55,ocaso64,"Los sindicalistas el que menos tiene son 30 años al frente de sus respectivo gremio, cero alternancia, la democracia a estos tipos les importa un bledo, carecen en todos los casos de formación cívica, se pasan la vida apretando, desestabilizando  y/o extorsionando a todos los gobiernos y esto se tiene que terminar de una buena vez."
56,jaquino1,"... en 1945 lanzaron 2 BOMBAS ATÓMICAS sobre JAPÓN .... en 1945 surgió el PERONISMO en ARGENTINA ..... 70 años despues, se comprueba CIENTÍFICAMENTE que el PERONISMO es peor que la BOMBA ATÓMICA ..."
57,arioschirino,"Hay q explicarle a este tipo que ""Ley pareja no es rigurosa"" y"" El q nada debe nada teme"", nuestra Constitución Nacional dice que somos todos iguales ante la Ley."
58,ebenner,Si claro... para Hugo siempre es una razón diferente... que son una familia de delincuentes nunca es una buena razón
59,Just4Justice,"PERONISTA ES AQUEL QUE SE HACE LLAMAR DE ESA MANERA PARA SACAR VENTAJA

J. L. Borges"
60,timsanders,Ayyy Moyano ... se les acaba la jo.da y la impunidad. Qué querés hacer ahora? Un paro nacional para que no los investiguen? Patético
61,fumenoire,@timsanders Están pensando en lanzarse en camiones hacia la casa rosada. Para estos mafiosos no hay límites. De terror!
62,juanjorgesalzman,"Moyano ,contra Macri perdistes no negocia con patoreros ni corruptos!!!!! "
63,Mojigato,"""ES MAS FACIL ENGAÑAR A LA GENTE, QUE CONVENCERLA DE QUE HAN SIDO ENGAÑADOS."" (MARK TWAIN, U.S.A. 1835-1910.)"
64,Just4Justice,@Mojigato Muy bueno !
65,Mojigato,@Just4Justice @Mojigato TENEMOS QUE LEER MAS A LOS GRANDES PENSADORES Y MENOS A LOS DIARIOS... Slds.
66,Anticojc,Familia de delincuentes que seguramente intentará tomar represalias haciendo un paro general con la complicidad de los otros sindicatos nada mas que para parar a la justicia y que no meta en cana a uno solo de ellos a pesar que todos deberian ir juntos al calabozo. Esta es la mafia creada por peron en el 45 que han sobrevivido hasta el dia de hoy robandole al estado con cualquier gobierno aun durante el proceso militar. Adoraban a la cristina porque ella y la mafia de justicia legitima les aseguraba impunidad pero las cosas cambiaron y para bien de la republica no deberian ir solos sino acompañados de otros mafiosos.     
67,ariz7265,Don Moyano amo de los escritorios como Don Frio
68,lafraslafra,"¿Ahora qué? ¿le van a buscar todas las vueltas todo porque el niño Facundo se tira unas minitas de primera? ¡si todas le quieren pagar para que salga con ellas!. Es una superpotencia el pibe y Macri le tiene envidia, por eso es todo esto."
69,lafraslafra,"No sé por qué esta persecución emperrada con los Moyano....si ni siquiera tiene un haras de súperlujo criando caballos de 50 lucas verdes....puros camiones tienen, tres cabañitas cabañita en parque Leloir de una hectárea cada una, eso cualquiera lo tiene, otra quintita en Los Baqueanos, las empresitas de la mujer, ¿qué más, los buzones de OCA, le van a contar?"
70,guigoo,@lafraslafra y un clubcito de futbol de barrio para que jueguen los nenes. Nada importante.
71,Mojigato,"A MI HUMILDE ENTENDER, TODOS LOS OPOSITORES PROCESADOS COMENTEN EL MISMO -GRAVE- ERROR AL QUERER DEFENDERSE: LE ECHAN LA CULPA AL GOBIERNO CUAL SI FUESE UN TEMA POLITICO. Y ESO, DEBERIAN SABERLO ELLOS Y SUS ABOGADOS, MAL PREDISPONE ENORMEMENTE AL PODER JUDICIAL EN GENERAL Y A LOS JUECES EN PARTICULAR. "
72,merc1708,Son temas penales manejados por intereses políticos.
73,jorpanther,Vos seguis creyendo ese verso? Los Moyano Son todos ladrones
74,Mojigato,"@merc1708 NO NECESARIAMENTE. LAS EVIDENCIAS ESTAN A LA VISTA. QUE TENGAN REPERCUSION POLITICA, ES OTRA COSA. "
75,merc1708,No dije repercusión. Están manejados políticamente.
76,lilianacesar,@merc1708 Para el que no es pasible de ninguna imputación penal no hay ningún interés político que pueda impulsar ninguna causa. El que tiene las manos limpias no tiene problema alguno. No creo que sea precisamente el caso de los Moyano.
77,Mojigato,@merc1708 PROBALO.
78,cmallo,@merc1708 dudo que lo manejen interesed políticos. La Justicia es absolutamente independiente: no como en el gobierno anterior. Pero como leí recién un comentario: es más fácil engañar a la gente que convencerla de que han sido engañados.
79,cmallo,"@merc1708 perdón, y en que basa tan temeraria aseveración?"
80,lucaspro,Huguito si es un disparate por que te preocupas? O es que no estas tan limpito? Eh?
81,susana87,"Que tiempos aquellos donde  ""Mauri"" innauguraba estatuas junto con el entonces rubio Moyano y  eran grandes amigos. Todo para ganar la elección 2015. Ay, ay y ay!! "
82,jaquino1,"“Menem fue el mejor presidente de la historia” (NÉSTOR K) año 1997, cuando defendía las privatizaciones junto a Cavallo"
83,Vipest,"La verdad no se de que trata esta causa, no la he seguido para nada ,para mi todas son causas menores con respecto a la figura de la Porota como Jefa de una Asociacion Ilicita, y puedo decir con certeza que dada la impunidad actual no todos serian iguales ante la ley como dice el Sr. Frigerio."
84,Vipest,Ademas el mismisimo Presidente veria con beneplacito no penar a los empresarios que defraudaron al Estado con la obra publica y accionaron ilegalmente para no parar la misma.
85,cmallo,@Vipest barrabasada de comentario
86,lilianacesar,"@Vipest La impunidad facturásela al Congreso, especialmente al bloque peronista que comanda Picchetto."
87,Just4Justice,"Suelo viajar dentro de la provincia de Buenos Aires....  los remiseros y taxistas... que escuchan y ven mas que la mayoria ...  siempre me dicen   ""...Esto es de los  M0yano......  o   esto es de Sholi ......  "".... Lo mismo en la zona de Carmelo Uruguay...... es increible LO QUE HAN SAKEADO .....   Como no van a estar dispuestos a TODO... ?.... "
88,merc1708,Si lo dice un taxista debe necesariamente ser verdad.
89,lilianacesar,"@merc1708 Dejate de chicanas. TODOS sabemos que la gran mayoría de los gremialistas son ladrones, Moyano el capo de tutti i capi."
90,susana87,"@Just4Justice yo en cambio suelo viajar como usted y me dicen esto es el cUrreo de la famiglia macri, esto son los sies parques eólicos , esto es el soterramiento del Sarmiento que es de los macri -eso sí tambièn tienen testaferros, como midlin . "
91,Just4Justice,@susana87 @Just4Justice Tenes que denunciarlo !......  
92,cmallo,"@susana87 @Just4Justice pruebas, por favor????"
93,Just4Justice,Pagaria una gran cuota mensual por acceder a una camarita en la celda de estos asesinos ... viendo como se la dan 20 veces por día !!!!.......
94,lafraslafra,"¡Aaahh! ¡nos sorprendió a todos porque esperabamos alguna respuesta clásica, de manual, pero contraatacó con un argumento novedoso!. No les van a ganar a imaginativos."
95,jlopez149,@lafraslafra Desde que leen a Nietszche van mejorando el pensamiento.
96,jlopez149,Esto es lo mismo que los mafiosos de Chicago años 30 que manejaban sindicatos y vendían protección.
97,merc1708,"Si sabe algo, haga la denuncia."
98,jlopez149,"@merc1708 Ya la hicieron otros por mí, gracias por el consejo."
99,merc1708,"No, no de lo que usted asegura."
100,lilianacesar,@merc1708 Ya están hechas todas las denuncias. Preguntale a Florencia Arietto.
101,fper7709,"@jlopez149 Por eso llevamos 70 años de atraso. El mismo Peron dijo que eran unos choros, pero se quedo corto"
102,merc1708,Y ahora citan a Perón. Brillante.
103,fper7709,@merc1708 Acaso no es verdad? ud tiene menos argumentos que el Pato Donald
104,lilianacesar,"@fper7709 @jlopez149 Por algo nunca les dio las obras sociales, ese regalito se lo debemos a Onganía."
105,lilianacesar,"@merc1708 Que Perón era brillante decís ? Sin duda, por eso nunca les dio las obras sociales, regalo que le deben a la dictadura de Onganía."
106,fper7709,@lilianacesar @merc1708 Para chorear era tan brillante como Moyano. Como hizo para vivir en la mansion de Puerta de Hierro sin laburar?
107,ariz7265,Mejor comprale una Libertadores a In the pendiente y dejate dejoder
108,lafraslafra,"Son unos pobres incomprendidos los Moyano. Es la envidia de la gente que los ve amasar millones.¿qué quieren, que la guita la usen los afiliados, para la obra social, para qué?. Si está mucho mejor aprovechada en las manos de los muchachos, que de manejar...saben mucho."
109,Negreiro,Respuesta de manual la de Huguito...
110,gbarret,"Todo en familia. Como los Corleone. O peor,  porque es con la complicidad del estado."
111,rube6946,"Gracias ""al General"". la afiliación es OBLIGATORIA, pero no asi el voto, de modo que LAS MAFIAS mandan a ""sus muchachos"" y asi se perpetuan en el poder. Antiguamente los SINDICATOS eran las fuerzas de choque del peronismo, pero la tercerizaron con los BARRABRAVAS. Tiempos modernos, que le dicen"
112,antabuse,no es el gobierno pedazo de monstruo anda a quejarte con el fiscal! jajaja
113,lafraslafra,"Será un disparate, pero por las dudas no te disparés que te traen del jopo."
114,jlopez149,"Pues yo me estoy ""distrayendo"" mucho."
115,merc1708,"No es un disparate la causa contra Moyano por lo que se sabe. El momento y la obsesión por la prision preventiva, si son un disparate."
116,gbarret,A llorar a la cancha.
117,merc1708,Muy democrático su comentario.
118,jlopez149,"@merc1708 ¿ Se imagina cómo mafiosos multimillonarios, sueltos, sin escrúpulos, podrían apretar a muchos y silenciar a otros ?."
119,merc1708,"En la justicia no alcanza con imaginar, hay que probar."
120,lilianacesar,@merc1708 La prisión preventiva es un instituto previsto en la ley penal del mundo entero y desde hace siglos. Que un juez juzgue que un poderoso se puede fugar u obstruir el proceso no tiene nada de disparate. Disparate es que en este país cualquiera hable de lo que lo conoce ¿Sos abogado? Yo sí.
121,curtisscapitana,"Porque no elije otra excusa, esta es muy trillada."
122,gbarret,Cuánta mafia Dios mio!!!  Como vamos a remontar con ese peso que nos enchufó la inacción o complicidad de la justicia.
123,ssergiojl,"DE MANUAL, LO DE MOY.ANO"
124,jsalvetti2,"Si claro, perseguido politico!!"
125,critico2010,"@jsalvetti2 ""político"" (con comillas)"
126,richaires,"Independiente es el Hotesur de los Moyano, 
Pablo es su DeVido, 
el Policlinico del gremio es su Obra Pública
y los camioneros son su Cámpora..."
127,jlopez149,@richaires Y la Sra. su Contratista.
128,paca7612,VOLVEMOS !!
129,critico2010,@paca7612 A Ezeiza... y más adelante la Isla de los Estados
130,Madarski,"El gobierno verdaderamente es un disparate, pero los Moyano son unos mafiosos que mas que merecidos tienen el encierro."
131,erin3ar,"Gato cuando te vayas te vas a tener que refugiar en Liberia, porque vas en cana de por vida"
132,fper7709,@erin3ar Vos perteneces al sindicato?
133,pirulogoyeneche,@erin3ar Mafiosos abstenerse
134,richaires,"@erin3ar
Imposible porque todos tus heroes seguiran presos y este gobierno seguira reelecto"
135,jsalvetti2,Ni lo sueñes!!! primero los anteriores
136,g_alde,Mafia pura los Moyano. Y los afiliados al gremio que los apañan con su silencio. Porque sin ese silencio no existiría esa mafia!!!
137,fper7709,"@g_alde Son 4 los que votan. El resto ni los conoce. No representan a nadie, como el resto del sindicalismo"
138,g_alde,"Pero están y apoyan cuando salen a cortar calles, a amenazar y a jorobarle la vida a quien trabaja honestamente. O no??"
139,fper7709,@g_alde Los barra pagados. Es la pesada del sindicato.
140,g_alde,"La gente del interior no piensa como vos. Han hecho mucho daño cuando les abrían las tolvas a los camiones que seguían circulando cuando ellos llamaban al paro. Y no eran los barras, eran afiliados comunes."
141,paca7612,La Revolucion de la alegria pone varias notas de Moyano para todo el fin de semana ........jajajajajajja disimulen cheee
