,cantidad,keyword,toxicity
311,2,Fito Paéz,0.3916538334023255
754,2,Corrupción,0.26842906120807336
309,2,Mar del Tuyú,0.27597406896875
761,2,cambio climático,0.36873052975
266,2,Adolf Hitler,0.34596987279079605
747,2,Carlos Bilardo,0.27149104753199416
261,2,La Noche de Mirtha,0.32627325651732353
273,2,Relaciones internacionales,0.13488305507152779
276,2,Atlético Tucumán,0.16544069018181817
640,2,Personajes,0.35885704157692305
279,2,Manchester City,0.13734692089333334
730,2,Guillermo Moreno,0.3093497624711462
639,2,entrevista,0.35885704157692305
1035,2,Gerardo Martino,0.2414918953857143
1034,2,Chiqui Tapia,0.2414918953857143
287,2,comercio exterior Argentina,0.19666605189553238
288,2,déficit comercial Argentina,0.1791533452190476
979,2,Sheila Ayala,0.20927886733333334
697,2,Rufina Cabré,0.2971584753020834
1031,2,Primera división,0.3539641505681818
294,2,Rogelio Frigerio,0.21008350443739685
301,2,Mar del Plata,0.23984892959661835
302,2,Rescate,0.20940354169444444
1022,2,Holocausto,0.3228752588852546
791,2,Papa Francisco,0.36337234344215474
388,2,cancer,0.16487348890624998
382,2,Test Infobae,0.28478649403125
452,2,Congreso,0.25162271182669266
908,2,Diego Armando Maradona,0.17813917360779816
569,2,Dorados de Sinaloa,0.14813650131249995
472,2,Hamas,0.3891469300666667
568,2,Diego Maradona,0.34914816004113247
477,2,ATP 500 de Beijing,0.13796803716666667
565,2,Chacho Coudet,0.2551196318654762
557,2,italia,0.24584826428571427
841,2,Soledad Fandiño,0.2926925055535715
484,2,gas,0.251115186589397
552,2,Salud,0.1877663466666667
485,2,Javier Iguacel,0.3368454822612993
843,2,Sindicatos,0.38173615143225803
892,2,Alberto Olmedo,0.21337785554483749
845,2,Test de Rorschach,0.14814667318125002
491,2,volatilidad cambiaria,0.4937451392763158
544,2,Abuso sexual,0.3679407416293801
541,2,Iliana Calabró,0.22689806885714286
884,2,Peronismo,0.24053453164635852
851,2,Encuentro de Mujeres,0.3242188539853481
502,2,Pampita,0.27744129230077347
235,2,Juan Schiaretti,0.3664364837794072
509,2,caída del salario real,0.4971920420367647
510,2,elecciones en brasil,0.421557635
853,2,Carlín Calvo,0.09431238333333333
513,2,ByMA,0.1640033880833333
453,2,Diputados,0.2812686803402299
449,2,Julio De Vido,0.2627902487659092
383,2,100 días para enamorarse,0.30076987578125003
577,2,Corrupción K,0.22847893916666667
959,2,Marta Yáñez,0.19054085744738483
616,2,Luiz Inácio Lula da Silva,0.2923385973978814
857,2,Javier Faroni,0.093912192875
389,2,inmunoterapia,0.16487348890624998
390,2,medicina,0.16487348890624998
391,2,premio Nobel de Medicina,0.16487348890624998
392,2,Suecia,0.16487348890624998
613,2,Marcelo Gullo,0.25098500253355316
612,2,Aumento del gas,0.20422527715178573
