,es_respuesta,fecha,likes,nota_id,respuestas,texto,url,usuario,autor,seccion,titulo,severe_toxicity,toxicity,caracteres,caracteresSE
25400,True,18:49 06/10/2018,1.0,367,0.0,Paraguayo buchon y mentiroso   .....,https://www.lanacion.com.ar/2179174-los-principales-bancos-del-mundo-confirmaron-su,Italiener67,Rafael Mathus Ruiz,Economía,"Dietrich dijo que vio ""mucho interés"" de los bancos en participar en el fideicomiso de la PPP",0.3246981,0.63750035,36,30
12533,False,15:27 30/09/2018,,191,7.0,"Si Hitler estuviera vivo, Trump_eta se casaba.

Cada uno se enamora de quien quiere.

El problema verdaderamente grave es los que no asumen su sexualidad, porque en algún momento los deseos se vuelven obsesiones y cuando se reprimen generan violencia.

Por favor alguien que le haga el amor a Trump_eta.

Que verguenza la de USA con semejante payaso.",https://www.lanacion.com.ar/2177128-donald-trump-con-kim-jong-un-nos-enamoramos,apaulonio,,El Mundo,"Donald Trump: ""Con Kim Jong-un nos enamoramos; me escribió cartas hermosas""",0.7612177,0.63366413,374,321
15856,False,16:24 01/10/2018,5.0,223,3.0,"el comunista cocalero MORALES, es el típico dictadorzuelo de américa latina...expulsa a sus pobres , tan prepotentes como el, a países vecinos, como ARGENTINA, para que roben tierras, y se aprovechen de los ciudadanos argentinos que pagan su salud, educación y hasta tierras robadas y viviendas, para tener que soportar sus eternas quejas de indio insatisfecho.......FELICITO AL PUEBLO CHILENO, SIEMPRE TAN ACERTADO EN SUS POLÍTICAS DE ESTADO",https://www.lanacion.com.ar/2177357-chile-bolivia-disputa-salida-al-mar-corte,republicaonada,,El Mundo,Fallo histórico: La Haya rechazó el reclamo de Bolivia para negociar con Chile la salida al mar,0.7266589,0.59510094,442,376
43267,False,07:52 14/10/2018,1.0,611,1.0,Italia gobernada por Hitler y el Che Guevara... Esquizofrenia pura.,https://www.lanacion.com.ar/2181620-torbellino-el-populismo-y-la-crisis-economica-acercan-a-italia-al-abismo,kembattery,Elisabetta Piqué,El Mundo,Torbellino: el populismo y la crisis económica acercan a Italia al abismo,0.7266589,0.58826876,67,58
28189,True,02:19 08/10/2018,,404,0.0,@Kavenaghi Si. Y Macri es tan corrupto como Kirchner (y como Hitler).,https://www.lanacion.com.ar/2179480-elecciones-brasil-bolsonaro-quedo-paso-presidencia-pero,ricardoares,Alberto Armendáriz,El Mundo,"Elecciones en Brasil: Bolsonaro obtuvo una contundente victoria, pero deberá ir al ballottage con Haddad",0.7266589,0.58796245,69,58
16757,False,12:04 01/10/2018,7.0,223,2.0,"diputado MASSA y senador PICHETTO, ¡basta de fotitos! y sancionen ya LEY de DEPORTACION de BOLIVIANOS indocumentados y con causas penales en Bolivia.",https://www.lanacion.com.ar/2177357-chile-bolivia-disputa-salida-al-mar-corte,ravila3,,El Mundo,Fallo histórico: La Haya rechazó el reclamo de Bolivia para negociar con Chile la salida al mar,0.7266589,0.56997895,149,127
16837,False,11:54 01/10/2018,6.0,223,1.0,DEPORTACION de BOLIVIANOS indocumentados.,https://www.lanacion.com.ar/2177357-chile-bolivia-disputa-salida-al-mar-corte,ravila3,,El Mundo,Fallo histórico: La Haya rechazó el reclamo de Bolivia para negociar con Chile la salida al mar,0.6744656,0.5604263,41,38
11540,True,21:54 29/09/2018,2.0,178,0.0,Hay lluvias que hacen inútiles a los paraguas...,https://www.lanacion.com.ar/2176929-fito-paez-hablo-kirchnerismo-nueva-york-nunca,daniel_porta,,Sociedad,"Fito Páez habló sobre el kirchnerismo en Nueva York: ""Nunca pertenecí a ese movimiento""",0.2251725,0.53308105,48,41
56897,True,21:56 19/10/2018,,758,2.0,@cborja No quieren acercarse a Argenzuela del corrupto Macri.,https://www.lanacion.com.ar/2183427-en-fotos-drama-humano-exodo-hondurenos,QuiqueLaNacion,,El Mundo,"En fotos, el drama humano en el éxodo de los hondureños",0.35943738,0.5071424,61,53
61033,True,10:22 21/10/2018,1.0,818,0.0,"@jppagliano LO QUE HABRIA QUE ELIMINAR SIN ASCO SON A LOS GOBERNANTES DE ESOS PAISES DONDE UNA CLASE PRIVILEGIADA VIVE EN LA ABUNDANCIA Y MANTIENE A LA GRAN MASA DEL PUEBLO IGNORANTE Y SOJUZGADA SIN POSIBILIDADES DE PODER TRABAJAR Y VIVIR DIGNAMENTE.....LO ESTAMOS VIENDO EN  CUBA Y VENEZUELA. LA PRIMERA HACE MAS DE 50 AÑOS QUE GOBIERNAN Y LO ÚNICO QUE HAN CONSEGUIDO ES POBREZA Y SUMISIÓN Y LOS SEGUNDOS UNA CASTA DE DELINCUENTES QUE CONSIGUIERON EL RECORD DE INFLACIÓN MUNDIAL,  EN UN PAÍS CON UNA RIQUEZA PETROLERA MONUMENTAL........¿¿¿¿QUIÉN ES QUE LOS VOTA A ESTOS TIRANOS????",https://www.lanacion.com.ar/2183826-caravana-inmigrantes-donald-trump-honduras-guatemala-mexico,CRIPEPA,,El Mundo,"La caravana de inmigrantes desafía a Trump, cruza a México de forma ilegal y sigue hacia EE.UU.",0.56116796,0.5004114000000001,582,485
10588,False,16:29 29/09/2018,1.0,156,0.0,"Majul dijo que Macri era Mandela y resulta que al final era Hitler.
 La pifió igual que con la ley de oferta y demanda o con el ""sospechoso container"".
El Higuaín de los hombres rata........",https://www.lanacion.com.ar/2176898-nicolas-dujovne-no-tengo-miedo-no-se,danu8406,,Economía,"Nicolás Dujovne: ""No tengo miedo de que no se pueda controlar el dólar""",0.56116796,0.49973950000000006,196,163
15758,False,17:12 01/10/2018,,223,0.0,"CHILENOS..... ""HUTUS""... VS.. BOLITAS.... ""TUTSIS""... JUAAAA JUAAAA 😂",https://www.lanacion.com.ar/2177357-chile-bolivia-disputa-salida-al-mar-corte,torno10,,El Mundo,Fallo histórico: La Haya rechazó el reclamo de Bolivia para negociar con Chile la salida al mar,0.45252034,0.4983755,69,62
16278,True,13:25 01/10/2018,,223,1.0,"@juanjorgesalzman NOSOTROS LOS ARGENTINOS SOMOS MEZCLA DE ITALIANO , INDIO Y ESPAÑOL - Y POR ESO SOMOS AINDIADOS PERO MEJOR QUE TODOS LOS DEMAS.  ",https://www.lanacion.com.ar/2177357-chile-bolivia-disputa-salida-al-mar-corte,MartinLaacre,,El Mundo,Fallo histórico: La Haya rechazó el reclamo de Bolivia para negociar con Chile la salida al mar,0.56116796,0.49811548,146,121
16201,True,13:35 01/10/2018,,223,0.0,"los nazis bolitas tienen al bolitaje entretenido con la idea de prepotearle tierra a Chile, y resulta que los materialistas son los que celebran el fallo que los pone en caja",https://www.lanacion.com.ar/2177357-chile-bolivia-disputa-salida-al-mar-corte,Eeeeeee1,,El Mundo,Fallo histórico: La Haya rechazó el reclamo de Bolivia para negociar con Chile la salida al mar,0.7266589,0.49763563,174,144
27705,True,09:54 08/10/2018,,402,0.0,Así nació Hitler y Mussolini,https://www.lanacion.com.ar/2179487-para-america-latina-impacto-triunfo-bolsonaro-puede,tess8682,Daniel Lozano,El Mundo,"Para América Latina, el impacto de un triunfo de Bolsonaro puede ser sísmico",0.6907873999999999,0.47296593,28,24
28713,False,00:19 08/10/2018,1.0,404,1.0,"MUSSOLINI Y HITLER ERAN DE ULTRADERECHA....O SEA, QUE GOBERNABAN PARA LOS RICOS, JUAJAUJAUA!

QUE IGNORANCIA POR DIOS!",https://www.lanacion.com.ar/2179480-elecciones-brasil-bolsonaro-quedo-paso-presidencia-pero,Capol_anus,Alberto Armendáriz,El Mundo,"Elecciones en Brasil: Bolsonaro obtuvo una contundente victoria, pero deberá ir al ballottage con Haddad",0.56116796,0.4251348,124,109
27893,False,08:05 08/10/2018,,404,3.0,"Macri socialista,el Socialismo hambreo Africa, Hitler fue socialista .....creo que todo esto es peor de lo que imaginaba",https://www.lanacion.com.ar/2179480-elecciones-brasil-bolsonaro-quedo-paso-presidencia-pero,Italiener67,Alberto Armendáriz,El Mundo,"Elecciones en Brasil: Bolsonaro obtuvo una contundente victoria, pero deberá ir al ballottage con Haddad",0.56116796,0.4251348,120,103
28187,True,02:16 08/10/2018,,404,4.0,y Bolsonaro es Hitler. ¿Oyó hablar de la transitividad?,https://www.lanacion.com.ar/2179480-elecciones-brasil-bolsonaro-quedo-paso-presidencia-pero,ricardoares,Alberto Armendáriz,El Mundo,"Elecciones en Brasil: Bolsonaro obtuvo una contundente victoria, pero deberá ir al ballottage con Haddad",0.677657,0.4251348,55,47
55028,True,00:35 20/10/2018,3.0,752,1.0,@amazona2 ¿huele a chiquero paraguayo? ó ¿huele a corral de ovejas?,https://www.lanacion.com.ar/2183387-macri-habla-cierre-del-coloquio-idea,etacarinae88,,Economía,"Macri apuntó contra Moyano: ""No podemos tener métodos mafiosos en todo el sistema logístico""",0.45131665,0.4251348,67,57
51736,True,19:31 17/10/2018,1.0,711,0.0,"@fper7709 @fumenoire Sí, aquel se atrevió a más siendo el títiere de Hitler. Pero qué lindo final que tuvo él y la Petacci!",https://www.lanacion.com.ar/2182602-dividido-peronismo-festeja-dia-lealtad-actos-masivos,fumenoire,,Política,"Con críticas al Gobierno y llamados a la unidad, el peronismo festeja dividido el Día de la Lealtad",0.56008106,0.38178098,123,101
54394,False,20:38 18/10/2018,3.0,746,11.0,Paraguayos indocumentados delincuentes se armaron u. Barrio Privado? Solo en peronia,https://www.lanacion.com.ar/2183027-san-miguel-vecinos-tiraron-piedras-se-enfrentaron,Kavenaghi,,Sociedad,San Miguel: vecinos tiraron piedras y se enfrentaron a la policía luego de la aparición del cuerpo de Sheila Ayala,0.36124429999999996,0.3727785,84,74
21375,False,20:45 04/10/2018,4.0,302,0.0,"JUEGUEN Y DESPUÉS HABLEN, NO ABRAN EL PARAGUAS NI DIGAN ESTUPIDECES. RIVER GANÓ POR BUENO, NO POR AYUDA DE NADIE.",https://www.lanacion.com.ar/2178467-sarmiento-resistencia-river-copa-argentina,marcris28,Carlos Delfino,Deportes,"En Sarmiento de Resistencia están furiosos contra River: ""Si nos presentamos, vamos a ser 11 contra 14""",0.09692557,0.3727785,113,94
16487,False,12:45 01/10/2018,,223,0.0,"Si los bolitas se bañaran , serían otra cosa....son laburantes , los únicos que se meten en el barro de las quintas, y trabajan de sol a sol. pero hay que educarlos en la higiene, con lo que nos cobran la verdura tienen para comprarse jabón y más jabón. ",https://www.lanacion.com.ar/2177357-chile-bolivia-disputa-salida-al-mar-corte,calistaflo,,El Mundo,Fallo histórico: La Haya rechazó el reclamo de Bolivia para negociar con Chile la salida al mar,0.4107594,0.34857857,254,205
2983,False,21:53 24/09/2018,3.0,25,0.0,Este pais se ha convertido en Argenzuela si las autoridades no se ponen los pantalones largos esto no va a terminar bien estamos otra vez como cuando estaban los montoneros operan de la misma forma ,https://www.lanacion.com.ar/2175245-atacan-bombas-molotov-sede-gendarmeria-nacional-san,arusany,,Política,Atacan con bombas molotov una sede de Gendarmería Nacional en Monserrat,0.33578566,0.32094315,198,163
27754,True,07:33 08/10/2018,,402,0.0,Qué parecido a lo que opinaban los fascistas en la Alemania de Hitler,https://www.lanacion.com.ar/2179487-para-america-latina-impacto-triunfo-bolsonaro-puede,jarad48,Daniel Lozano,El Mundo,"Para América Latina, el impacto de un triunfo de Bolsonaro puede ser sísmico",0.4992722,0.32094315,69,57
55072,False,00:29 20/10/2018,1.0,752,0.0,el Kónsul Paraguayo se sube al mionca y se va a Luján ..... ,https://www.lanacion.com.ar/2183387-macri-habla-cierre-del-coloquio-idea,etacarinae88,,Economía,"Macri apuntó contra Moyano: ""No podemos tener métodos mafiosos en todo el sistema logístico""",0.3200458,0.32094315,60,47
38692,False,05:45 12/10/2018,3.0,533,1.0,"Sres Foristas: Me parece que es necesario que se le enseñe a los Obreros de Argentina lo que es el verdadero Capitalismo. ¡Sí!, ese sistema HACIA EL QUE TODOS QUIEREN EMIGRAR (EEUU, Inglaterra, Alemania) pero que NO QUIEREN APLICAR EN ARGENTINA. El gremialismo argentino ES DE IZQUIERDA: Nació hacia 1925 con el bolcheviquismo (Lisandro de la Torre, Raúl Scalabrini Ortiz, Arturo Jauretche), luego se mezcló con Socialistas de Mussolini (Fascistas) y luego con Nacionalsocialistas de Hitler (NAtionalsoZIalistiche=NAZI). Y la estructura actual es MARXISTA con Pueblo Obrero pobre y dirigentes que viven al lujo Soviético (Vladimir Putin). Posiblemente sería bueno traducir a castellano la película “Other People’s Money” (El Dinero de los Otros), puede vérsela en Google,  con el genial Danny De Vito haciendo de Capitalista y fundamentalmente, traducir la última frase del Capitalista a los Obreros: “Cuando Uds. salgan de mi funeral, tendrán una sonrisa en vuestros labios…y unos dólares en el bolsillo…ése es un funeral que vale la pena”. ",https://www.lanacion.com.ar/2180920-procesan-cupula-camioneros-extorsion,sacapunta,,Política,Procesan a miembros de la cúpula de Camioneros por extorsión,0.48107314,0.31551233,1042,881
57439,True,19:07 19/10/2018,1.0,776,0.0,@AncianoVetusto @xeneizealpalo Al consultorio del médico paraguayo que abatió a un cimarrón en una entradera; los parientes llegaron antes que la policía. Sabian perfectamente donde estaba el nene. ,https://www.lanacion.com.ar/2183360-llavallol-familia-resistio-entradera-mato-dos-delincuentes,Trigono,,Sociedad,Llavallol: una familia resistió una entradera y mató a dos delincuentes,0.37386823,0.31412426,198,170
15902,True,16:03 01/10/2018,,223,0.0,"@Guillermo 2010... No somos nosotros que borramos el foro tiene un filtro anti Indio... Y a veces cuando entran más de 4 mapus en Malon se satura y borra a cualquiera...
JUAAAA JUAAAA 😂",https://www.lanacion.com.ar/2177357-chile-bolivia-disputa-salida-al-mar-corte,torno10,,El Mundo,Fallo histórico: La Haya rechazó el reclamo de Bolivia para negociar con Chile la salida al mar,0.35494295,0.31187516,188,156
51748,True,19:17 17/10/2018,,711,0.0,@Belisarioperez Hitler tambien?,https://www.lanacion.com.ar/2182602-dividido-peronismo-festeja-dia-lealtad-actos-masivos,fper7709,,Política,"Con críticas al Gobierno y llamados a la unidad, el peronismo festeja dividido el Día de la Lealtad",0.45700783,0.30140436,31,29
28606,True,00:39 08/10/2018,,404,0.0,@elcoso Ustedes festejan hasta un partido de bolitas jajaja,https://www.lanacion.com.ar/2179480-elecciones-brasil-bolsonaro-quedo-paso-presidencia-pero,lucasvas,Alberto Armendáriz,El Mundo,"Elecciones en Brasil: Bolsonaro obtuvo una contundente victoria, pero deberá ir al ballottage con Haddad",0.20452078,0.29669014,59,51
23406,False,03:00 05/10/2018,8.0,328,1.0,"Entre elegir a un venezolano bueno, o un perucho o paraguayo o colombiano, me quedo con el argentino malo. Charlaba con un colombiano en otro país y simulaba preferir a la selección argentina en el mundiial de Brasil, Cuando salió campeón Alemania lo vi paseando en bicicleta con la camiseta alemana. También en otro país una mexicana 'amiga' hablaba siempre de que le gustaría una final Mexico- Argentina en el mundial de Rusia. En un momento aprezco a mirar el partido Argentina- Nigeria y la encontré gritando a favor de Nigeria. Son todos falsetes el latinaje.",https://www.lanacion.com.ar/2178578-hablo-mujer-agredio-jovenes-venezolanas-las-canitas,Laberintos,,Sociedad,Habló la mujer que agredió a las jóvenes venezolanas en Las Cañitas,0.45906493,0.27800867,564,469
32462,True,05:32 09/10/2018,,445,1.0,"@toguin Es verdad, al menos en mi caso voté por el menos peor, aunque pensé que este gobierno sería un poco menos inútil pero complican hasta la cosa más simples a grados delirantes. Igualmente aunque no quieran reconocerlo, es un gobierno de transición, Macri me tiene sin cuidado, lo que no hay que perder es la memoria, ni olvidar que estuvimos a un paso de ser Argenzuela.",https://www.lanacion.com.ar/2179686-el-gobierno-busca-el-equilibrio-entre-defender-a-macri-y-contener-a-carrio-en-cambiemos,nahuel_st,Jaime Rosemberg,Política,El Gobierno busca el equilibrio entre defender a Macri y contener a Carrió en Cambiemos,0.19448382,0.26292527,376,310
22285,True,01:14 05/10/2018,,326,0.0,@patryleo @lucasvas @calistaflo Es lo que hago últimamente. Para el paraguayo se puede escribir un libro de las cosas que ha hecho. Además que lo conoce todo el mundo,https://www.lanacion.com.ar/2178599-garavano-tormenta-macri-rechazo-su-renuncia-le,lucasvas,Santiago Dapelo,Sociedad,"Las 24 horas de vértigo de Garavano, de la renuncia al respaldo de Macri",0.21386507,0.26084214,166,138
