,es_respuesta,fecha,likes,nota_id,respuestas,texto,url,usuario,autor,seccion,titulo,severe_toxicity,toxicity,caracteres,caracteresSE
14171,True,15:50 30/09/2018,,209,0.0,@IndecentTrump La plaga son quienes los usaron para llegar al poder. ,https://www.lanacion.com.ar/2177120-peaje-muerte-discusion-tiro-arma-pelea-autopista,eric_francis,,Sociedad,"Un prefecto discutió con otro automovilista, se bajó del vehículo con un arma y lo mató en la Illia",0.53172666,0.5004114000000001,69,58
47956,True,23:11 16/10/2018,,678,0.0,"@Martiniano1991 @fcab1 es entendible, pero si todos nos vamos quien les da pelea a estas bestias",https://www.lanacion.com.ar/2182331-luis-carzoglio-no-me-van-correr-aprietes,fcab1,,Política,"El juez que rechazó detener a Moyano aclaró: ""No me van a correr con aprietes""",0.3547863,0.5003061,96,81
11553,False,21:45 29/09/2018,4.0,178,2.0,"En Europa, Viena, Londres, Ginebra, Milán, Praga, se dan conciertos públicos que erizan la piel. Aquí estos chantas desafinados sin conocimientos de música son pagados para que aúllen al compás de la pobre sociedad embrutecida. Y los políticos populistas, contentos, porque piensan conseguir votos. Pagamos nos, de nuestros impuestos para que las bestias sigan existiendo.",https://www.lanacion.com.ar/2176929-fito-paez-hablo-kirchnerismo-nueva-york-nunca,fumenoire,,Sociedad,"Fito Páez habló sobre el kirchnerismo en Nueva York: ""Nunca pertenecí a ese movimiento""",0.5810854999999999,0.49950185,372,318
32929,True,22:07 09/10/2018,1.0,461,0.0,"@fiscaldemesa Comparto, son unas bestias y están autorizados para destruir tu valija si no tiene la cerradura TSA. Luego de revisar cierran la valija con cinta oficial y el equipaje te lo paga Magoya.",https://www.lanacion.com.ar/2180014-american-airlines-no-dejo-embarcar-familia-porque,Hank_Scorpio_33,,El Mundo,American Airlines no dejó embarcar a una familia porque su hijo con autismo tuvo una crisis,0.56116796,0.4989415,200,167
54124,True,22:50 18/10/2018,2.0,746,0.0,@DAMON11 Mas cimarrones que gente ,https://www.lanacion.com.ar/2183027-san-miguel-vecinos-tiraron-piedras-se-enfrentaron,nesfer24,,Sociedad,San Miguel: vecinos tiraron piedras y se enfrentaron a la policía luego de la aparición del cuerpo de Sheila Ayala,0.3331051,0.4971165,34,29
54420,False,20:34 18/10/2018,2.0,746,1.0,"¿Habrá algún otro país del mundo donde haya tanta gente obtusa como Argentina, donde creen realmente que todos somos iguales, y que con un poco más de ""ayuda social"" los marrones se convertirán en ciudadanos cartesianos, con ansias de estudiar, acumular capital y avanzar socialmente?",https://www.lanacion.com.ar/2183027-san-miguel-vecinos-tiraron-piedras-se-enfrentaron,Fela_Kuti,,Sociedad,San Miguel: vecinos tiraron piedras y se enfrentaron a la policía luego de la aparición del cuerpo de Sheila Ayala,0.51906025,0.4251348,284,240
34451,False,19:38 09/10/2018,,472,0.0,Jefe de La Campora Ja!Ja!Ja!Ja! es una cargada para los cimarrones ,https://www.lanacion.com.ar/2180128-cuadernos-coimas-bonadio-cito-indagatoria-maximo-kirchner,nesfer24,,Política,Cuadernos de las coimas: Bonadio citó a indagatoria a Máximo Kirchner por el dinero ilegal en la campaña,0.36293790000000004,0.4251348,67,56
54378,True,20:45 18/10/2018,,746,0.0,"@emilia_mitri @ventanaamarilla Los marrones son inimputables, fauna.",https://www.lanacion.com.ar/2183027-san-miguel-vecinos-tiraron-piedras-se-enfrentaron,Fela_Kuti,,Sociedad,San Miguel: vecinos tiraron piedras y se enfrentaron a la policía luego de la aparición del cuerpo de Sheila Ayala,0.56116796,0.4251348,68,62
14169,False,14:18 30/09/2018,2.0,209,2.0,"El asesino es militar. Los miitares son la plaga que acosa y destruye a Argentina desde 1930. Para quienes no se han enterado, Peron era uno de los militares que participo en el primer golpe contra la democracia. Argentina tuvo la ocasion de eliminar las escuelas militares, donde se indoctrinan estos asesinos. No lo hicieron cuando pudieron hacerlo, y ahora es demasiado tarde.",https://www.lanacion.com.ar/2177120-peaje-muerte-discusion-tiro-arma-pelea-autopista,IndecentTrump,,Sociedad,"Un prefecto discutió con otro automovilista, se bajó del vehículo con un arma y lo mató en la Illia",0.56116796,0.4251348,379,317
4636,False,05:51 27/09/2018,1.0,61,0.0,el negrito enfiló con su cabeza a matar o morir..eso es indudable se tiró a la pileta sin agua con obediencia de un kamikaze. No tendrían que haberle perdonado la sanción. Y Andrada todo lo contrario pecó de inocente y salió perdiendo. A ver si a Chilavert le hiban a hacer esto. Saltaba con la rodilla levantada y arrasaba con todos,https://www.lanacion.com.ar/2175921-cruzeiro-boca-sin-sancion-dede-choque-andrada-antecedente,Madmaster,Alejandro Casar González,Deportes,"Cruzeiro-Boca: sin sanción para Dedé por el choque con Andrada, con un antecedente argentino",0.56116796,0.4251348,333,273
13877,True,18:03 30/09/2018,4.0,208,0.0,"@Pela_loco ¡Ahhhhh! Sos un negrito que llegó a la blancura y entonces discriminás a los tuyos, seeeh, conozco también algunos casos...",https://www.lanacion.com.ar/2177124-temporal-pilar-arroyo-adolescente-desaparecido-cristina-roldan,fjcaldera,,Sociedad,Pilar: hallaron muerto al joven que se tiró a un arroyo en medio del temporal,0.35304105,0.4251348,134,114
51348,False,22:28 17/10/2018,1.0,708,0.0,"¿ahora se acuerdan que necesitan a las empresas para mantener el empleo?  ¿no pudieron pensarlo antes de sancionar la ley terrorista tributaria terrorista 27430, y entre otras barbaridades de esa ley,  su nefasto artículo 189 hoy ratificado por los bestias de la Cámara en lo Contencioso Administrativo Federal, que autoriza a la AFIP a suspender la CUIT,  engendro que ni siquiera debería existir?   ¿en qué nube vive esta mujer?  en una de p2  o en la de Oort?",https://www.lanacion.com.ar/2182714-maria-eugenia-vidal-coloquio-idea-el-cambio,rebelionfiscal,Maia Jastreblansky,Política,"Vidal reclamó a los hombres de negocios que no se ubiquen ""del lado de la vereda que es cómplice""",0.35440475,0.37093496,462,378
54441,False,20:25 18/10/2018,1.0,746,9.0,"En LN+, hay una cheta progre, explicando que los marrones delinquen, holgazanean y se drogan por que tienen angustia existencial",https://www.lanacion.com.ar/2183027-san-miguel-vecinos-tiraron-piedras-se-enfrentaron,estevita,,Sociedad,San Miguel: vecinos tiraron piedras y se enfrentaron a la policía luego de la aparición del cuerpo de Sheila Ayala,0.46311688,0.32094315,128,109
