,fecha,likes,respuestas,texto,usuario,es_respuesta,seccion,titulo,url
19064,18:12 01/10/2018,1.0,0,"Ruta 9, Km, 33, Campana. Datos erróneos por donde se los mire. ¿Ruta 9 o panamericana? Km33 no puede ser de ninguna manera; Campana está en km. 78 aprox. ¿O es ruta 6, se le dió vuelta el número y leyeron 9?. No es lo más importnte acepto. Lo importante es que hay uno menos, joven por suerte aún como para que no mate a nadie más. La pena es el de 16 que ahora tendrá según su manera de pensar que ""vengar"" la muerte de su tío juramentado ante el Gil Gaucho.",abarcia2,False,Política,Atropelló y mató a uno de los ladrones que intentó asaltarlo en plena ruta 9,https://www.lanacion.com.ar/2177450-atropello-mato-uno-ladrones-intento-asaltarlo-plena
20401,10:17 03/10/2018,5.0,1,"El argumento de la superpoblación no solo es falso cuando sobran alimentos y capacidad para crecer en población, sino que además muestra una degradación social evidente de los sentimientos humanos.
Una sociedad que prioriza un trabajo al amor está fracasada, y va a ser indefectiblemente triste.
Es lo que se ve hoy. Bajo el concepto de cosificacion de los niños concretado en matarlos, las sociedades muestran una decadencia tal que demuestra la incapacidad de amar de enormes cantidades de sus miembros.
El que mata a sus hijos de plena conciencia no puede amar.
Y amar de verdad me refiero y no al televisivo.
Pesadumbre o melancolía dominan cuando.se destruye la familia matando a los hijos, y así se cree que es mejor un trabajo o una vida de consumo que criar en el amor a un hijo.
El que no ve en sus hijos la felicidad auténtica de poder amar, está enfermo. Muy enfermo.
La incapacidad de amar, es una enfermedad grave, la más grave.
.",tomas_deaquino,False,Economía,"Tener hijos o hacer carrera, la dicotomía que no debería existir más para las mujeres",https://www.lanacion.com.ar/2177764-tener-hijos-hacer-carrera-dicotomia-no-deberia
20406,09:48 03/10/2018,3.0,0,"Evidente es que hay una involución a la caverna de la muerte.
Hacen falta muchos niños para el amar y sólo hoy dicen que sobran para matarlos.",tomas_deaquino,False,Economía,"Tener hijos o hacer carrera, la dicotomía que no debería existir más para las mujeres",https://www.lanacion.com.ar/2177764-tener-hijos-hacer-carrera-dicotomia-no-deberia
22228,23:37 03/10/2018,,0,@Caida_Libre @Myanki Hay que borrar todos los tratados que prohiben la pena de muerte,masademar,True,Política,El Gobierno sumó el apoyo de dos gobernadores más para el presupuesto,https://www.lanacion.com.ar/2178192-el-gobierno-sumo-apoyo-dos-gobernadores-mas
22612,00:52 04/10/2018,,0,"A favor o en contra de la pena de muerte para los asesinos, pedofilos, violadores, los marcos y los funcionarios públicos cuyo corrupción sea causal de muerte?",Gaviiota,False,Sociedad,Arregló una cita por Facebook y fue drogada y violada,https://www.lanacion.com.ar/2178179-arreglo-cita-facebook-fue-drogada-violada
23042,20:39 04/10/2018,3.0,0,"uno menos, diría edu feinman",tengo_toc,False,El Mundo,Morir por la foto perfecta: 259 víctimas por una selfie desde 2011,https://www.lanacion.com.ar/2178475-morir-foto-perfecta-259-victimas-selfie-2011
29291,23:51 07/10/2018,2.0,0,"@tmcdonnell @Roger60  Se imagina las peleas de tránsito a los balazos limpios.
No soy partidario de armar a la población. ",Roger60,True,El Mundo,"Elecciones en Brasil: Bolsonaro obtuvo una contundente victoria, pero deberá ir al ballottage con Haddad",https://www.lanacion.com.ar/2179480-elecciones-brasil-bolsonaro-quedo-paso-presidencia-pero
30373,17:01 07/10/2018,,1,"===========================================================
 OJALA VENGA EL GRAL RICO, Y COMIENCE A FUSILAR 
.
.

GLOBOS QUE EVADIERON Y LA DEPOSITARON EN 
.
.

ANDORRA PANAMA BAHAMAS O URUGUAY !!!!!!!

======================================================",Adolfo__T_Cantu,False,Política,"Elisa Carrió aclara que no romperá con Cambiemos, pero insiste con que ""la impunidad no es negociable""",https://www.lanacion.com.ar/2179413-elisa-carrio-macri-va-tener-elegir-pero
30800,15:11 07/10/2018,,1,"A Massa, Urtubey, Cristina, Pichetto, Macri y Carrio los fusilaría a todos en la Plaza de Mayo para empezar todo de cero.",PascoLeber,False,Política,"Para Massa, la interna entre Macri y Carrió ""se está transformando en un gran papelón""",https://www.lanacion.com.ar/2179397-para-massa-pelea-macri-carrio-se-esta
32982,19:30 08/10/2018,6.0,0,Rifle sanitario,conradorodr,False,Política,"El juez Canicoba, con permisos para manejar autos de alta gama a nombre de familiares y un empresario",https://www.lanacion.com.ar/2179742-el-juez-canicoba-permisos-manejar-autos-alta
